court_id,resource_uri,pacer_court_id,pacer_has_rss_feed,pacer_rss_entry_types,date_last_pacer_contact,fjc_court_id,date_modified,in_use,has_opinion_scraper,has_oral_argument_scraper,position,citation_string,short_name,full_name,url,start_date,end_date,jurisdiction,parent_court,appeals_to
nyd,https://www.courtlistener.com/api/rest/v4/courts/nyd/,,,,,,2023-10-02T18:23:44.516877-07:00,False,False,False,244.7,D. N.Y.,D. New York,"District Court, D. New York",,1789-09-24,1814-04-09,FD,https://www.courtlistener.com/api/rest/v4/courts/usdistct/,[]
nyed,https://www.courtlistener.com/api/rest/v4/courts/nyed/,123.0,True,all,,07,2023-10-02T18:23:44.528953-07:00,True,False,False,244.8,E.D.N.Y,E.D. New York,"District Court, E.D. New York",http://www.nyed.uscourts.gov/,,,FD,https://www.courtlistener.com/api/rest/v4/courts/usdistct/,[]
nynd,https://www.courtlistener.com/api/rest/v4/courts/nynd/,125.0,True,"cmp,order,order-cr,motion",,06,2023-10-02T18:23:44.536524-07:00,True,False,False,244.9,N.D.N.Y.,N.D. New York,"District Court, N.D. New York",http://www.nynd.uscourts.gov/,,,FD,https://www.courtlistener.com/api/rest/v4/courts/usdistct/,[]
nysd,https://www.courtlistener.com/api/rest/v4/courts/nysd/,127.0,True,"adr,answer,appeal,appeal-cr,charge-cr,cmp,discov,discovery-cr,misc,misc-cr,misccs,mot2255,motion,notice,notice-cr,order,order-cr,respm,respm-cr,respoth,service,service-cr,transfer,transfer-cr,trial,trial-cr,waiver-cr,detention-cr,minutes,minutes-cr,plea",,08,2023-10-02T18:23:44.555933-07:00,True,False,False,245.0,S.D.N.Y.,S.D. New York,"District Court, S.D. New York",http://www.nysd.uscourts.gov/,,,FD,https://www.courtlistener.com/api/rest/v4/courts/usdistct/,[]
nywd,https://www.courtlistener.com/api/rest/v4/courts/nywd/,129.0,False,,,09,2023-10-02T18:23:44.563720-07:00,True,False,False,245.05,W.D.N.Y.,W.D. New York,"District Court, W.D. New York",http://www.nywd.uscourts.gov/,,,FD,https://www.courtlistener.com/api/rest/v4/courts/usdistct/,[]
nysupct,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,,,,,,2015-10-29T12:44:55.110000-07:00,True,True,False,366.9652,N.Y. Sup. Ct.,New York Supreme Court,New York Supreme Court,http://www.nycourts.gov/courts/cts-outside-nyc-SUPREME.shtml,1896-01-01,,ST,,[]
nysupctalbany,https://www.courtlistener.com/api/rest/v4/courts/nysupctalbany/,,,,,,2023-10-02T18:23:54.416675-07:00,False,False,False,366.96521,N.Y. Sup. Albany,"New York Supreme Court, Albany County","New York Supreme Court, Albany County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
nysupctalgny,https://www.courtlistener.com/api/rest/v4/courts/nysupctalgny/,,,,,,2023-10-02T18:23:54.427177-07:00,False,False,False,366.965211,"N.Y. Sup. Ct., Allegany Cty.","New York Supreme Court, Allegany County","New York Supreme Court, Allegany County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
nysupctbrnx,https://www.courtlistener.com/api/rest/v4/courts/nysupctbrnx/,,,,,,2023-10-02T18:23:54.434476-07:00,False,False,False,366.965212,"N.Y. Sup. Ct., Bronx Cty.","New York Supreme Court, Bronx County","New York Supreme Court, Bronx County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
nysupctbrm,https://www.courtlistener.com/api/rest/v4/courts/nysupctbrm/,,,,,,2023-10-02T18:23:54.446879-07:00,False,False,False,366.965213,"N.Y. Sup. Ct., Broome Cty.","New York Supreme Court, Broome County","New York Supreme Court, Broome County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
nysupctctrgs,https://www.courtlistener.com/api/rest/v4/courts/nysupctctrgs/,,,,,,2023-10-02T18:23:54.459347-07:00,False,False,False,366.965214,"N.Y. Sup. Ct., Cattaraugus Cty.","New York Supreme Court, Cattaraugus County","New York Supreme Court, Cattaraugus County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
nysupctcayuga,https://www.courtlistener.com/api/rest/v4/courts/nysupctcayuga/,,,,,,2023-10-02T18:23:54.465971-07:00,False,False,False,366.96522,N.Y. Sup. Cayuga,"New York Supreme Court, Cayuga County","New York Supreme Court, Cayuga County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
nysupctchtq,https://www.courtlistener.com/api/rest/v4/courts/nysupctchtq/,,,,,,2023-10-02T18:23:54.479149-07:00,False,False,False,366.965221,"N.Y. Sup. Ct., Chautauqua Cty.","New York Supreme Court, Chautauqua County","New York Supreme Court, Chautauqua County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
nysupctchmng,https://www.courtlistener.com/api/rest/v4/courts/nysupctchmng/,,,,,,2023-10-02T18:23:54.499150-07:00,False,False,False,366.965222,"N.Y. Sup. Ct., Chemung Cty.","New York Supreme Court, Chemung County","New York Supreme Court, Chemung County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
nysupctchenango,https://www.courtlistener.com/api/rest/v4/courts/nysupctchenango/,,,,,,2023-10-02T18:23:54.515139-07:00,False,False,False,366.96523,N.Y. Sup. Chenango,"New York Supreme Court, Chenango County","New York Supreme Court, Chenango County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
nysupctclinton,https://www.courtlistener.com/api/rest/v4/courts/nysupctclinton/,,,,,,2023-10-02T18:23:54.531191-07:00,False,False,False,366.96524,N.Y. Sup. Clinton,"New York Supreme Court, Clinton County","New York Supreme Court, Clinton County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
nysupctclmb,https://www.courtlistener.com/api/rest/v4/courts/nysupctclmb/,,,,,,2023-10-02T18:23:54.542127-07:00,False,False,False,366.965241,"N.Y. Sup. Ct., Columbia Cty.","New York Supreme Court, Columbia County","New York Supreme Court, Columbia County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
nysupctcrtlnd,https://www.courtlistener.com/api/rest/v4/courts/nysupctcrtlnd/,,,,,,2023-10-02T18:23:54.555228-07:00,False,False,False,366.9652412,"N.Y. Sup. Ct., Cortland Cty.","New York Supreme Court, Cortland County","New York Supreme Court, Cortland County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
nysupctdlwr,https://www.courtlistener.com/api/rest/v4/courts/nysupctdlwr/,,,,,,2023-10-02T18:23:54.563426-07:00,False,False,False,366.9652413,"N.Y. Sup. Ct., Delaware Cty.","New York Supreme Court, Delaware County","New York Supreme Court, Delaware County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
